horizon,coefficient,std_error,n_obs,measure,panel_file,t_pre
9,-1.9906842272813687,0.15950201277306547,45571,leverage,mTransitionPanel_68.csv,68
10,-1.9419270481330346,0.16178581307731094,44206,leverage,mTransitionPanel_68.csv,68
11,-1.6990281482802443,0.15503470139272815,42872,leverage,mTransitionPanel_68.csv,68
12,NA,NA,41569,leverage,mTransitionPanel_68.csv,68
13,NA,NA,40303,leverage,mTransitionPanel_68.csv,68
0,0.3040878470090918,0.04065636964460409,59436,default_distance,mTransitionPanel_68.csv,68
1,0.5802096930544854,0.07360566995929586,57730,default_distance,mTransitionPanel_68.csv,68
2,0.8688765068241135,0.09910788577389375,56069,default_distance,mTransitionPanel_68.csv,68
3,1.194267018285834,0.11773582970880357,54448,default_distance,mTransitionPanel_68.csv,68
4,1.4260114308817249,0.13063404965981595,52867,default_distance,mTransitionPanel_68.csv,68
5,1.6554064022179558,0.14197143886480063,51326,default_distance,mTransitionPanel_68.csv,68
6,1.808433149362536,0.14360236753119604,49834,default_distance,mTransitionPanel_68.csv,68
7,1.918087287176533,0.14858470695519557,48379,default_distance,mTransitionPanel_68.csv,68
8,2.005071486307216,0.15340916634142415,46957,default_distance,mTransitionPanel_68.csv,68
9,1.994089263642435,0.15978277009907463,45571,default_distance,mTransitionPanel_68.csv,68
10,1.945149880880921,0.16207400382135198,44206,default_distance,mTransitionPanel_68.csv,68
11,1.7015069851963935,0.15530149379096375,42872,default_distance,mTransitionPanel_68.csv,68
12,NA,NA,41569,default_distance,mTransitionPanel_68.csv,68
13,NA,NA,40303,default_distance,mTransitionPanel_68.csv,68
0,-0.2520294275964337,0.04208533884576083,61346,leverage,mTransitionPanel_76.csv,76
1,-0.48096729957961964,0.0702325217117386,59599,leverage,mTransitionPanel_76.csv,76
2,-0.7059477569492123,0.08908703983563626,57887,leverage,mTransitionPanel_76.csv,76
3,-0.9003387110168787,0.10569743187080327,56224,leverage,mTransitionPanel_76.csv,76
4,-1.092070545458111,0.1176806346857435,54604,leverage,mTransitionPanel_76.csv,76
5,-1.2173719891689094,0.1412291064644859,53018,leverage,mTransitionPanel_76.csv,76
6,-1.421659619455736,0.17218918050876125,51464,leverage,mTransitionPanel_76.csv,76
7,-1.5060604628712302,0.17417153294791038,49941,leverage,mTransitionPanel_76.csv,76
8,-1.5836628998702864,0.1909518633052777,48470,leverage,mTransitionPanel_76.csv,76
9,-1.5634903742537227,0.20297431984097655,47043,leverage,mTransitionPanel_76.csv,76
10,-1.491658399989915,0.20005725357611315,45655,leverage,mTransitionPanel_76.csv,76
11,-1.326287049484898,0.18734684006362604,44302,leverage,mTransitionPanel_76.csv,76
12,NA,NA,42983,leverage,mTransitionPanel_76.csv,76
13,NA,NA,41697,leverage,mTransitionPanel_76.csv,76
0,0.25430741985928684,0.04224815386432946,61346,default_distance,mTransitionPanel_76.csv,76
1,0.48332815950492936,0.07038372039530688,59599,default_distance,mTransitionPanel_76.csv,76
2,0.7084177854847848,0.08928697684414867,57887,default_distance,mTransitionPanel_76.csv,76
3,0.9029418676342356,0.10595675347370691,56224,default_distance,mTransitionPanel_76.csv,76
4,1.094692097837799,0.11795351265070152,54604,default_distance,mTransitionPanel_76.csv,76
5,1.2200740607512874,0.1415449096264805,53018,default_distance,mTransitionPanel_76.csv,76
6,1.4244105610713194,0.17253703432823622,51464,default_distance,mTransitionPanel_76.csv,76
7,1.508846970139231,0.17451217394323834,49941,default_distance,mTransitionPanel_76.csv,76
8,1.586458451056968,0.19133375849925938,48470,default_distance,mTransitionPanel_76.csv,76
9,1.5661225539772,0.2033881462641248,47043,default_distance,mTransitionPanel_76.csv,76
10,1.494032692354092,0.20042322104578522,45655,default_distance,mTransitionPanel_76.csv,76
11,1.328401636682088,0.1876644914104895,44302,default_distance,mTransitionPanel_76.csv,76
12,NA,NA,42983,default_distance,mTransitionPanel_76.csv,76
13,NA,NA,41697,default_distance,mTransitionPanel_76.csv,76
0,-0.3129581618574321,0.05045207371225007,61861,leverage,mTransitionPanel_84.csv,84
1,-0.6831097570614768,0.07963665045519285,60128,leverage,mTransitionPanel_84.csv,84
2,-0.927206638308922,0.09659299004222258,58434,leverage,mTransitionPanel_84.csv,84
3,-1.1462244351990851,0.13172189138631338,56784,leverage,mTransitionPanel_84.csv,84
4,-1.197798040934929,0.1614008928023554,55169,leverage,mTransitionPanel_84.csv,84
5,-1.3441285365011713,0.17469905930116902,53595,leverage,mTransitionPanel_84.csv,84
6,-1.475052694872964,0.17563833278048238,52070,leverage,mTransitionPanel_84.csv,84
7,-1.6330277323224311,0.18659349839064354,50584,leverage,mTransitionPanel_84.csv,84
8,-1.8121594508754113,0.1896208637123865,49128,leverage,mTransitionPanel_84.csv,84
9,-1.8763812743407695,0.20415315842683776,47706,leverage,mTransitionPanel_84.csv,84
10,-1.9484009868139143,0.20780304845264536,46319,leverage,mTransitionPanel_84.csv,84
11,-1.7258959494545285,0.18957767955646523,44971,leverage,mTransitionPanel_84.csv,84
12,NA,NA,43660,leverage,mTransitionPanel_84.csv,84
13,NA,NA,42383,leverage,mTransitionPanel_84.csv,84
0,0.3158166280715904,0.05061728000722785,61861,default_distance,mTransitionPanel_84.csv,84
1,0.6863602163327667,0.07981197475669853,60128,default_distance,mTransitionPanel_84.csv,84
2,0.9305003147809828,0.09679248491493753,58434,default_distance,mTransitionPanel_84.csv,84
3,1.1496905228723742,0.13200526756270523,56784,default_distance,mTransitionPanel_84.csv,84
4,1.2011778985008108,0.16173056373090755,55169,default_distance,mTransitionPanel_84.csv,84
5,1.3476872326684899,0.1750646795032885,53595,default_distance,mTransitionPanel_84.csv,84
6,1.47866557664857,0.17597146915285575,52070,default_distance,mTransitionPanel_84.csv,84
7,1.6367730088867096,0.18691407848751634,50584,default_distance,mTransitionPanel_84.csv,84
8,1.8159821028331888,0.18990780867538015,49128,default_distance,mTransitionPanel_84.csv,84
9,1.8800387329058836,0.20440518375567704,47706,default_distance,mTransitionPanel_84.csv,84
